document_id,main_category,sub_category
10402,cs,LG
07844,cs,CR
05815,astro-ph,SR
04363,math,NA
04042,quant-ph,
10607,math,CO
06068,astro-ph,SR
06388,math,NT
03036,cond-mat,str-el
04566,quant-ph,
07795,physics,comp-ph
03434,cond-mat,mtrl-sci
09500,quant-ph,
00213,astro-ph,CO
02936,astro-ph,SR
01715,cs,SI
05496,math,CO
10360,astro-ph,SR
08792,math,NA
09427,cond-mat,supr-con
03721,q-bio,QM
06543,cond-mat,mes-hall
07438,cs,LO
05263,math,DG
08540,astro-ph,SR
08529,math,CA
02348,cond-mat,supr-con
06054,hep-th,
09982,q-bio,PE
07172,hep-th,
05336,cond-mat,stat-mech
03889,physics,acc-ph
04731,quant-ph,
09554,astro-ph,HE
07136,astro-ph,GA
08499,math,NA
07044,q-fin,CP
04239,math,RA
01101,math,AG
04996,math,NA
08897,astro-ph,GA
06528,gr-qc,
06645,nucl-th,
00537,astro-ph,SR
03158,cs,CG
07635,cond-mat,str-el
07583,cs,MA
04750,math,GT
05113,physics,optics
06972,math,NA
02707,hep-ph,
02473,math,OA
10551,astro-ph,EP
08273,stat,ML
06840,hep-th,
02108,cs,CV
07849,physics,optics
08102,quant-ph,
08099,cs,LG
10224,math-ph,
02145,math,NT
01480,hep-ph,
03122,math,ST
04642,cs,SI
01441,stat,AP
06033,nlin,AO
08795,cond-mat,mtrl-sci
05789,gr-qc,
10157,hep-ph,
05157,cond-mat,mes-hall
03876,astro-ph,SR
05665,physics,app-ph
00997,astro-ph,HE
08983,astro-ph,SR
04410,math,RT
05734,physics,soc-ph
04518,physics,app-ph
02092,math,AP
10455,physics,bio-ph
07736,stat,ML
06021,math,DG
03743,physics,optics
02479,math,AG
08378,math,FA
04640,physics,app-ph
06647,math,LO
02521,math,AG
02967,math,OC
06781,astro-ph,HE
03095,astro-ph,GA
03978,econ,EM
06465,cond-mat,str-el
02306,math,OC
04595,math,GR
09446,astro-ph,CO
06757,stat,AP
08225,cs,CR
09104,math,CT
07103,math,CO
10035,cond-mat,str-el
01502,astro-ph,GA
07664,cs,LO
08744,math,LO
00698,physics,optics
04523,cs,DC
06178,cond-mat,str-el
00705,cond-mat,str-el
02724,cond-mat,str-el
09228,astro-ph,SR
04800,gr-qc,
01567,astro-ph,EP
08627,cond-mat,str-el
06232,cs,DS
00246,math,NA
01604,cs,AI
04670,quant-ph,
08876,cs,DM
02603,cs,FL
08841,cs,AI
01366,math,CA
07133,gr-qc,
04071,astro-ph,GA
05443,astro-ph,SR
09271,cs,AI
00887,cs,SD
10517,cs,CV
03718,gr-qc,
10418,q-bio,PE
06819,cs,RO
10139,cs,DM
04615,hep-th,
10459,cs,AI
10575,physics,app-ph
08375,cond-mat,mtrl-sci
05621,gr-qc,
05062,stat,ML
08561,math,AG
04829,cs,HC
02931,physics,acc-ph
