document_id,email_domain
document_id,email_address
10068,gmail.com
10068,i2.org
05149,asru2017.org
00351,cimat.mx
00759,ornl.gov
05434,ictp.it
05434,bo.infn.it
07468,gmail.com
07468,ufpel.edu.br
06149,gmail.com
00379,mail.ru
08957,cern.ch
03670,ku.edu.kw
05425,oats.inaf.it
01627,gmail.com
06921,gmail.com
00392,hri.res.in
00392,hri.res.in
00977,mi.ras.ru
10275,nasa.gov
08149,oca.eu
04862,imj-prg.fr
06179,gmail.com
06498,thesimpsons.com
02822,aims.edu.gh
09119,aas.org
09119,aas.org
03197,imsc.res.in
03197,gmail.com
10387,borelian.com
05973,lipn.fr
04834,astron.nl
04834,astron.nl
05554,outlook.com.au
09374,math.sinica.edu.tw
09374,math.sinica.edu.tw
09374,math.sinica.edu.tw
09374,mpim-bonn.mpg.de
06504,ens-paris-saclay.fr
06504,ens-paris-saclay.fr
03211,komtech.com.sg
03211,komtech.com.sg
08903,gmail.com
01993,tifr.res.in
01993,tifr.res.in
03097,fnal.gov
01978,stn.nitech.co.jp
01978,riken.jp
01978,beauxbatons.edu
01747,pks.mpg.de
01747,pks.mpg.de
08141,nao.ac.jp
08141,nao.ac.jp
08056,163.com
08056,math.sinica.edu.tw
04157,ptb.de
07368,smu.ca
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
10314,in.ibm.com
10314,gmail.com
02691,acm.org
02691,acm.org
02691,gmail.com
02691,gmail.com
09137,iff.csic.es
02457,corporation.com
02457,marysville-ohio.com
02457,affiliation.org
02457,researchlabs.org
02457,amesres.org
02457,prl.com
02457,affiliation.org
02457,consortium.net
07656,lip6.fr
03650,innopolis.ru
03650,innopolis.ru
03650,innopolis.ru
03650,innopolis.ru
03650,innopolis.ru
00797,prl.res.in
00797,kias.re.kr
00797,prl.res.in
10515,muw.ac.at
02316,gmail.com
02316,gmail.com
01839,gmail.com
00478,physics.sharif.edu
00478,ipm.ir
00478,ipm.ir
08884,protonmail.com
07452,centralesupelec.fr
07452,pesquet.eu
06628,blacksci.co.uk
05272,teleport.com
05272,aps.org
04154,theor.mephi.ru
04154,sci.lebedev.ru
00608,mail.ru
00608,yandex.ru
00608,mail.ru
06023,thesimpsons.com
06023,3.5GHz
06023,3.5GHz
05016,gmail.com
07601,gmail.com
07601,163.com
07922,imag.com
07922,fictional.edu
07922,fictional.edu
04798,live.concordia.com
03473,ms.isibang.ac.in
03473,gmail.com
03473,isibang.ac.in
03473,gmail.com
08703,inria.fr
07294,gmail.com
02023,126.com
02023,163.com
09610,cbu.ca
09722,gmail.com
09722,iopb.res.in
09722,gmail.com
08785,ujf.cas.cz
10505,newcastle.ac.uk
09863,kurenai.waseda.jp
00869,yahoo.com
01056,163.com
02464,ds.mpg.de
10561,ras.org.uk
10561,ras.org.uk
04878,roe.ac.uk
